"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000015532",489,582,296,670,332,213
"ENSG00000015568",43,49,27,52,31,31
"ENSG00000015592",1,0,1,0,0,0
"ENSG00000015676",1121,1243,731,1602,739,434
"ENSG00000016082",0,1,0,0,0,0
"ENSG00000016391",26,16,12,21,6,5
"ENSG00000016402",0,2,0,0,0,0
"ENSG00000016490",0,0,0,0,0,0
"ENSG00000016602",0,1,0,0,0,0
"ENSG00000016864",543,524,517,729,439,292
"ENSG00000017260",1334,1292,1005,1667,806,674
"ENSG00000017427",7,2,4,5,0,1
"ENSG00000017483",262,223,128,356,141,30
"ENSG00000017797",2709,1581,5027,2523,2242,3672
"ENSG00000018189",961,1272,537,1216,584,353
"ENSG00000018236",0,2,0,0,0,0
"ENSG00000018280",10255,6615,27716,14250,11334,42041
"ENSG00000018408",22,15,10,24,11,4
"ENSG00000018510",972,917,663,1192,555,453
"ENSG00000018607",0,0,0,0,0,0
"ENSG00000018610",287,273,200,368,282,124
"ENSG00000018625",2,3,3,0,3,1
"ENSG00000018699",341,339,141,369,150,81
"ENSG00000018869",50,46,42,67,51,17
"ENSG00000019102",7,14,4,6,10,1
"ENSG00000019144",27,27,12,27,12,3
"ENSG00000019169",335,819,266,548,910,270
"ENSG00000019186",1,0,0,1,0,0
"ENSG00000019485",250,293,129,277,108,45
"ENSG00000019505",0,4,0,0,0,0
"ENSG00000019549",0,0,2,0,1,0
"ENSG00000019582",37513,60742,25720,63720,39966,13354
"ENSG00000019991",283,386,399,302,301,688
"ENSG00000019995",1012,834,1332,1119,786,1100
"ENSG00000020129",379,439,253,582,274,203
"ENSG00000020181",170,124,164,274,57,59
"ENSG00000020219",0,2,1,0,0,0
"ENSG00000020256",262,250,121,296,136,72
"ENSG00000020426",81,93,34,88,56,12
"ENSG00000020577",199,474,121,449,335,41
"ENSG00000020633",4491,4016,2295,7422,2769,972
"ENSG00000020922",1398,1180,986,1716,776,473
"ENSG00000021300",242,231,89,336,157,24
"ENSG00000021355",4521,4327,5864,6118,5915,7326
"ENSG00000021461",0,1,1,0,0,1
